HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.lesson_plan_title,Input.lesson_plan_key_concepts,Input.url,Answer.category.label,Approve,Reject
306996CF7ZSID74N60DVAK8JW381B1,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:49 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:49 PDT 2019,,,3KYQYYSHYZFZBF72G17E6P5FOOFDOK,A2JPOXYZM5AJZZ,Submitted,Sun Sep 29 17:14:29 PDT 2019,Sun Sep 29 17:15:06 PDT 2019,Wed Oct 02 17:15:06 PDT 2019,,,,37,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",http://algo.ics.hawaii.edu/~nodari/teaching/f15/index.html,Schedule for the lesson plan,,
306996CF7ZSID74N60DVAK8JW381B1,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:49 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:49 PDT 2019,,,3WLEIWSYHSP2GONZFZS7QXHAFB52H5,A1V6CP5I0TOSAR,Submitted,Sun Sep 29 16:26:41 PDT 2019,Sun Sep 29 16:27:41 PDT 2019,Wed Oct 02 16:27:41 PDT 2019,,,,60,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",http://algo.ics.hawaii.edu/~nodari/teaching/f15/index.html,Schedule for the lesson plan,,
30ZKOOGW3ZEDUXZV0MDZF9ODELN1A6,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:48 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:48 PDT 2019,,,36U2A8VAG57JJZHEE52ZCTY7M7AKYE,A1V6CP5I0TOSAR,Submitted,Sun Sep 29 17:06:41 PDT 2019,Sun Sep 29 17:07:29 PDT 2019,Wed Oct 02 17:07:29 PDT 2019,,,,48,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://stackoverflow.com/questions/tagged/depth-first-search+data-structures,Related to key-concept(s),,
30ZKOOGW3ZEDUXZV0MDZF9ODELN1A6,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:48 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:48 PDT 2019,,,3KYQYYSHYZFZBF72G17E6P5FOOIODY,A1GKEEI844CEKI,Submitted,Sun Sep 29 17:36:49 PDT 2019,Sun Sep 29 17:37:54 PDT 2019,Wed Oct 02 17:37:54 PDT 2019,,,,65,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://stackoverflow.com/questions/tagged/depth-first-search+data-structures,Explains key-concept(s),,
31SIZS5W6CNTAI5TNCP0B0LVM12RQY,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:49 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:49 PDT 2019,,,35GMH2SV3IP43LL2CWIYC7N0O0JEOH,A1GKEEI844CEKI,Submitted,Sun Sep 29 17:37:54 PDT 2019,Sun Sep 29 17:38:23 PDT 2019,Wed Oct 02 17:38:23 PDT 2019,,,,29,0% (0/0),0% (0/0),0% (0/0),Greedy Algorithms,"Greedy algorithms,activity selection problems",http://algo.ics.hawaii.edu/~nodari/teaching/f15/index.html,Explains key-concept(s),,
31SIZS5W6CNTAI5TNCP0B0LVM12RQY,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:49 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:49 PDT 2019,,,3R2UR8A0IEOD9LCJ718Q0W8746LXO0,A1V6CP5I0TOSAR,Submitted,Sun Sep 29 16:33:42 PDT 2019,Sun Sep 29 16:34:17 PDT 2019,Wed Oct 02 16:34:17 PDT 2019,,,,35,0% (0/0),0% (0/0),0% (0/0),Greedy Algorithms,"Greedy algorithms,activity selection problems",http://algo.ics.hawaii.edu/~nodari/teaching/f15/index.html,Schedule for the lesson plan,,
32FESTC2OKYHW9NRMOJAW6JYPL5UC0,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:50 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:50 PDT 2019,,,3NGI5ARFTXDN4K3RF80YUN9W9W6P1L,A1V6CP5I0TOSAR,Submitted,Sun Sep 29 17:02:43 PDT 2019,Sun Sep 29 17:03:03 PDT 2019,Wed Oct 02 17:03:03 PDT 2019,,,,20,0% (0/0),0% (0/0),0% (0/0),Memory Management,"Memory Management,Virtual Memory,Dynamic Memory Allocation",https://en.wikipedia.org/wiki/Virtual_memory,Explains key-concept(s),,
32FESTC2OKYHW9NRMOJAW6JYPL5UC0,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:50 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:50 PDT 2019,,,3TK8OJTYM5T3QWJPMMKN1BGCY08VPB,AKSJ3C5O3V9RB,Submitted,Sun Sep 29 16:29:08 PDT 2019,Sun Sep 29 16:29:52 PDT 2019,Wed Oct 02 16:29:52 PDT 2019,,,,44,0% (0/0),0% (0/0),0% (0/0),Memory Management,"Memory Management,Virtual Memory,Dynamic Memory Allocation",https://en.wikipedia.org/wiki/Virtual_memory,Summary of key-concept(s),,
338431Z1GONQP6SD8ZXWMVQV70KROQ,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:48 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:48 PDT 2019,,,3LYA37P8IUVN6RO34DOF4I061YLKBS,A1PUHCEBSOWETV,Submitted,Sun Sep 29 16:20:13 PDT 2019,Sun Sep 29 16:20:32 PDT 2019,Wed Oct 02 16:20:32 PDT 2019,,,,19,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://jeremykun.com/2013/01/22/depth-and-breadth-first-search/,Explains key-concept(s),,
338431Z1GONQP6SD8ZXWMVQV70KROQ,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Sun Sep 29 16:18:48 PDT 2019,2,BatchId:3783234;OriginalHitTemplateId:928390929;,120,259200,Sun Oct 06 16:18:48 PDT 2019,,,3X1FV8S5J1ZXDJQQJ3U0722KX9QGVX,A3DZGDF9HCTAOB,Submitted,Sun Sep 29 17:00:12 PDT 2019,Sun Sep 29 17:00:19 PDT 2019,Wed Oct 02 17:00:19 PDT 2019,,,,7,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://jeremykun.com/2013/01/22/depth-and-breadth-first-search/,Explains key-concept(s),,
