HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.lesson_plan_title,Input.lesson_plan_key_concepts,Input.url,Answer.category.label,Approve,Reject
3K3IX1W4T9ZGBPIXLOOPG56BHF5APN,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,39L1G8WVWUZGXVY4HA3RHK6V6R9130,AJ60KRY0FTB1F,Submitted,Tue Oct 08 19:42:39 PDT 2019,Tue Oct 08 19:43:39 PDT 2019,Fri Oct 11 19:43:39 PDT 2019,,,,60,100% (7/7),100% (7/7),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://codereview.stackexchange.com/questions/tagged/breadth-first-search,Related to key-concept(s),,
3K3IX1W4T9ZGBPIXLOOPG56BHF5APN,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3GLB5JMZF13BJ2Q4SIU61GWDZSZDGQ,A1NH9LK567B862,Submitted,Tue Oct 08 17:20:56 PDT 2019,Tue Oct 08 17:21:21 PDT 2019,Fri Oct 11 17:21:21 PDT 2019,,,,25,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://codereview.stackexchange.com/questions/tagged/breadth-first-search,Applications of key-concept(s),,
3K3IX1W4T9ZGBPIXLOOPG56BHF5APN,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3KWTYT0874BW1HPCO393GWDTISNL5W,A1J1QKIGHFLF4M,Submitted,Tue Oct 08 17:19:50 PDT 2019,Tue Oct 08 17:20:16 PDT 2019,Fri Oct 11 17:20:16 PDT 2019,,,,26,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://codereview.stackexchange.com/questions/tagged/breadth-first-search,Applications of key-concept(s),,
3K3IX1W4T9ZGBPIXLOOPG56BHF5APN,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3MRNMEIQW9ER5U4539RME81LV9JLD2,A124E03UMDZAA9,Submitted,Tue Oct 08 16:58:19 PDT 2019,Tue Oct 08 16:58:32 PDT 2019,Fri Oct 11 16:58:32 PDT 2019,,,,13,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://codereview.stackexchange.com/questions/tagged/breadth-first-search,Related to key-concept(s),,
3K3IX1W4T9ZGBPIXLOOPG56BHF5APN,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3X65QVEQI4VH02YR3DWBU2J3A96LC1,A2CK0OXMPOR9LE,Submitted,Tue Oct 08 16:53:12 PDT 2019,Tue Oct 08 16:54:55 PDT 2019,Fri Oct 11 16:54:55 PDT 2019,,,,103,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://codereview.stackexchange.com/questions/tagged/breadth-first-search,Unrelated to the lesson plan,,
32K26U12EQWREGI5RAOQCY3ZO62VDU,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3I0BTBYZA1TH69AAACSHT9JYAZEY0E,A2CK0OXMPOR9LE,Submitted,Tue Oct 08 17:01:43 PDT 2019,Tue Oct 08 17:02:17 PDT 2019,Fri Oct 11 17:02:17 PDT 2019,,,,34,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://en.wikipedia.org/wiki/Breadth-first_search,Unrelated to the lesson plan,,
32K26U12EQWREGI5RAOQCY3ZO62VDU,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3R0T90IZ1WK1EAKQSMZVHAEVESNGCT,AJ60KRY0FTB1F,Submitted,Tue Oct 08 17:21:42 PDT 2019,Tue Oct 08 17:22:18 PDT 2019,Fri Oct 11 17:22:18 PDT 2019,,,,36,100% (7/7),100% (7/7),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://en.wikipedia.org/wiki/Breadth-first_search,Schedule for the lesson plan,,
32K26U12EQWREGI5RAOQCY3ZO62VDU,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3SB5N7Y3O7CHKIPAG66BM9CU53R0GL,A1NH9LK567B862,Submitted,Tue Oct 08 17:22:11 PDT 2019,Tue Oct 08 17:22:38 PDT 2019,Fri Oct 11 17:22:38 PDT 2019,,,,27,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://en.wikipedia.org/wiki/Breadth-first_search,Explains key-concept(s),,
32K26U12EQWREGI5RAOQCY3ZO62VDU,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3Z7VU45IP2PHIO5X2HY0LLBALLPZ1A,A1L8RL58MYU4NC,Submitted,Tue Oct 08 17:11:39 PDT 2019,Tue Oct 08 17:11:54 PDT 2019,Fri Oct 11 17:11:54 PDT 2019,,,,15,0% (0/0),0% (0/0),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://en.wikipedia.org/wiki/Breadth-first_search,Explains key-concept(s),,
32K26U12EQWREGI5RAOQCY3ZO62VDU,3FL4YKC6STUEVM71T6I5JHH233FUMM,Educational Content Categorization,What type of educational resource would you categorize this website as?,"website, classification, educational content",$0.20 ,Tue Oct 08 16:49:45 PDT 2019,6,BatchId:3794059;OriginalHitTemplateId:928390929;,120,259200,Tue Oct 15 16:49:45 PDT 2019,,,3ZGVPD4G6XPIR8H640IARRU5D5YZT3,A2WGW5Y3ZFBDEC,Submitted,Tue Oct 08 19:40:55 PDT 2019,Tue Oct 08 19:41:21 PDT 2019,Fri Oct 11 19:41:21 PDT 2019,,,,26,100% (1/1),100% (1/1),0% (0/0),Graph Theory,"Breadth First Search,Depth First Search,Shortest Path Algorithms",https://en.wikipedia.org/wiki/Breadth-first_search,Related to key-concept(s),,
